"","Confirmed","Deaths","Recovered","state","country"
"1",67666,2959,43500,"Hubei","Mainland China"
"2",7041,44,135,"","South Korea"
"3",5883,233,589,"","Italy"
"4",5823,145,1669,"","Iran"
"5",1352,7,1237,"Guangdong","Mainland China"
"6",1272,22,1244,"Henan","Mainland China"
"7",1215,1,1154,"Zhejiang","Mainland China"
"8",1018,4,960,"Hunan","Mainland China"
"9",990,6,979,"Anhui","Mainland China"
"10",949,11,12,"","France"
"11",935,1,916,"Jiangxi","Mainland China"
"12",799,0,18,"","Germany"
"13",758,6,627,"Shandong","Mainland China"
"15",631,0,606,"Jiangsu","Mainland China"
"16",576,6,526,"Chongqing","Mainland China"
"17",539,3,454,"Sichuan","Mainland China"
"18",500,10,30,"","Spain"
"19",481,13,403,"Heilongjiang","Mainland China"
"20",461,6,76,"","Japan"
"21",426,8,303,"Beijing","Mainland China"
"22",342,3,313,"Shanghai","Mainland China"
"23",318,6,307,"Hebei","Mainland China"
"24",296,1,295,"Fujian","Mainland China"
"25",268,1,3,"","Switzerland"
"26",252,2,218,"Guangxi","Mainland China"
"27",245,1,226,"Shaanxi","Mainland China"
"28",206,2,18,"","UK"
"29",188,1,0,"","Netherlands"
"30",174,2,170,"Yunnan","Mainland China"
"31",169,0,1,"","Belgium"
"32",168,6,158,"Hainan","Mainland China"
"33",161,0,0,"","Sweden"
"34",147,0,0,"","Norway"
"35",146,2,115,"Guizhou","Mainland China"
"36",138,0,78,"","Singapore"
"37",136,3,128,"Tianjin","Mainland China"
"38",133,0,126,"Shanxi","Mainland China"
"39",125,1,107,"Liaoning","Mainland China"
"40",120,2,87,"Gansu","Mainland China"
"41",108,2,51,"Hong Kong","Hong Kong"
"42",93,1,90,"Jilin","Mainland China"
"43",93,0,23,"","Malaysia"
"44",85,0,4,"","Bahrain"
"45",79,0,0,"","Austria"
"46",76,3,72,"Xinjiang","Mainland China"
"47",75,1,67,"Inner Mongolia","Mainland China"
"48",75,0,71,"Ningxia","Mainland China"
"49",107,16,1,"WA","US"
"50",61,0,0,"","Kuwait"
"51",76,0,0,"NY","US"
"52",54,4,0,"","Iraq"
"53",50,0,0,"","Iceland"
"54",50,1,31,"","Thailand"
"55",46,0,0,"","Greece"
"56",45,1,12,"Taiwan","Taiwan"
"58",45,0,7,"","United Arab Emirates"
"59",34,0,3,"","India"
"60",80,1,2,"CA","US"
"61",28,1,4,"New South Wales","Australia"
"62",28,0,4,"ON","Canada"
"64",23,0,1,"","Denmark"
"65",23,1,0,"","San Marino"
"66",22,0,1,"","Lebanon"
"67",22,0,0,"","Palestine"
"68",21,0,4,"British Columbia","Canada"
"69",21,0,2,"","Israel"
"71",20,0,0,"","Portugal"
"72",19,0,0,"","Czech Republic"
"73",18,0,0,"","Ireland"
"74",18,0,18,"Qinghai","Mainland China"
"75",18,0,16,"","Vietnam"
"76",17,0,0,"","Algeria"
"77",16,0,2,"","Oman"
"78",15,0,1,"","Egypt"
"79",15,0,1,"","Finland"
"81",13,0,8,"Queensland","Australia"
"82",13,0,0,"","Brazil"
"83",13,0,0,"","Ecuador"
"84",13,0,2,"","Russia"
"85",12,0,0,"","Croatia"
"86",11,0,7,"Victoria","Australia"
"88",10,0,0,"","Estonia"
"89",10,0,10,"Macau","Macau"
"90",9,0,0,"","Azerbaijan"
"91",9,0,3,"","Romania"
"93",8,0,0,"","Argentina"
"94",8,0,0,"","Qatar"
"95",7,0,2,"South Australia","Australia"
