Region,"Population per 10,000",Population
Beijing,"2,154","21,540,000"
Tianjin,"1,560","15,600,000"
Hebei,"7,556","75,560,000"
Shanxi,"3,718","37,180,000"
Inner Mongolia,"2,534","25,340,000"
Liaoning,"4,359","43,590,000"
Jilin,"2,704","27,040,000"
Heilongjiang,"3,773","37,730,000"
Shanghai,"2,424","24,240,000"
Jiangsu,"8,051","80,510,000"
Zhejiang,"5,737","57,370,000"
Anhui,"6,324","63,240,000"
Fujian,"3,941","39,410,000"
Jiangxi,"4,648","46,480,000"
Shandong,"10,047","100,470,000"
Henan,"9,605","96,050,000"
Hubei,"5,917","59,170,000"
Hunan,"6,899","68,990,000"
Guangdong,"11,346","113,460,000"
Guangxi,"4,926","49,260,000"
Hainan,934,"9,340,000"
Chongqing,"3,102","31,020,000"
Sichuan,"8,341","83,410,000"
Guizhou,"3,600","36,000,000"
Yunnan,"4,830","48,300,000"
Tibet,344,"3,440,000"
Shaanxi,"3,864","38,640,000"
Gansu,"2,637","26,370,000"
Qinghai,603,"6,030,000"
Ningxia,688,"6,880,000"
Xinjiang,"2,487","24,870,000"
